OccurrenceID,GUID,Herbarium,Accession,Barcode,Basis of Record,Family,Scientific Name,Notho Genus,Genus,Specific Epithet,Specimen Notes,Phenology,Collector,Collector Number,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,Country,State or Province,County,Locality,Site Description,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Decimal Latitude,Decimal Longitude,
3559746,10eb412c-5fa1-41a9-a243-cc58109a237f,ID,190262,ID195818,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Fruits immature and green colored.,Flowers and Fruits,Daniel Turck,2022-35,J. Fox,14,7,2022,,U.S.A.,Idaho,Clearwater,"Clearwater National Forest, North Fork Ranger District. Isabella Creek, located on east side of the first bridge crossing creek. Location is about 1.25 miles north of Isabella Landing and mouth of Isabella Creek on FS Road 700.","Large, mossy rock overhang, along creek in coastal disjunct rainforest habitat. Surrounding habitat adjacent to creek is a mature Thuja plicata forest with Oplopanax horridus and Heracleum lanatum dominating understory.",1873 ft.,571,,46.862894,-115.621539,
3504356,dI9oPlRa74UDlqM3UNdt,ID,189787,ID195343,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,"Fruits present, but not collected due to local rarity. Insect damage present in the field. Additional tissue preserved in silica.",Fruits,Daniel Turck,21BC-113,,13,9,2021,,Canada,British Columbia,,"Haida Gwaii, Graham Island, Tlall / Tlell Conservancy, Old Growth Alley Trail. Plants collected next to a tributary of the Tlall Gandlaay / Tlell River.","Old growth Thuja plicata, Tsuga heterophylla, Picea sitchensis forest. Vaccinium spp., Blechnum spicant, Lysichiton americanus, and Gaultheria shallon understory.",79 ft.,24,,53.521187,-132.001404,
3504840,v3h0GOs8YGqGojsYCK8R,ID,189796,ID195352,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-101,,9,9,2021,,Canada,British Columbia,,Sanderson Point Rest Area on Hwy 37 northeast of Terrace.,"Mature Thuja plicata, Tsuga heterophylla, Picea sitchensis forest. ",357 ft.,109,,54.714472,-128.312141,
3504842,0dzaPErq9Aj1rU69BJ2N,ID,189793,ID195349,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-104,,10,9,2021,,Canada,British Columbia,,Gunsight Trail. 22km south of Terrace.,"Old growth Thuja plicata, Tsuga heterophylla, Picea sitchensis forest.",794 ft.,242,,54.369056,-128.494539,
3504846,lnS60hKTScqNw2kE5OBh,ID,189791,ID195347,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,Fruits,Daniel Turck,21BC-109,,10,9,2021,,Canada,British Columbia,,Kitimat Giant Spruce Trail.,"Old growth Sitka spruce forest, salmon berry understory. ",63 ft.,19,,54.051017,-128.680647,
3504858,95aIq576BPlL5TIvc5PV,ID,189797,ID195353,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Insect damage present in the field. Additional tissue preserved in silica.,,Daniel Turck,21BC-124,,14,9,2021,,Canada,British Columbia,,"Haida Gwaii, Graham Island. Hwy 16, approx 2km north of Gamadiis Llnagaay / Port Clements. Lat-Long approximate.",Three plants growing along east side of highway in grassy roadcut.,46 ft.,14,,53.693578,-132.141207,
3504862,gq10XqCtMRoEhMQpKfj3,ID,189757,ID195313,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,"Insect damage present in the field. Plant almost in senescence at time of collection. Fruits also present, but not collected due to local rarity. Additional tissue preserved in silica.",Fruits,Daniel Turck,21BC-128,,14,9,2021,,Canada,British Columbia,,"Haida Gwaii, Graham Island. Yaaguun Suu Conservancy. Yaaguun Suu / Yakoun Lake Trail. Plant is located on east side of trail in depression about 50-100m from lakeshore.","Old growth Thuja plicata, Tsuga heterophylla, Picea sitchensis forest. Single plant growing on tall stump presumably out of reach of deer browsing.",347 ft.,106,,53.354131,-132.282798,
3504871,OML0TMlosUd5o2goayo9,ID,189779,ID195335,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,"Plant was in fruit, but not collected due to local rarity. Additional tissue preserved in silica.",Fruits,Daniel Turck,21BC-138,,16,9,2021,,Canada,British Columbia,,"Haida Gwaii, Moresby Island. K'aayxada TlldaGaaw / Mount Moresby Trail. Collected right along trail on very steep section about midway between second creek crossing and timberline.",Mid elevation cedar-hemlock forest. Plant is growing on rocky outcrop presumably above the browsing height of deer next to trail.,990 ft.,302,,53.026762,-132.068041,
3504891,I7R4vmeg6NyprbRksJT7,ID,189765,ID195321,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,"Insect damage present in field. Flowers appear not to have gone to seed, presumably due to summer heatwave. Additional tissue preserved in silica.",Flowers,Daniel Turck,21BC-08,,14,8,2021,,Canada,British Columbia,,North Shore Road about 2.8 air km west of Cowichan Lake. Plants on south side of road.,Second growth Sitka spruce forest with sword fern understory.,618 ft.,188,,48.913641,-124.495867,
3504893,kI9EtNeMzO2A9T3nkJcA,ID,189764,ID195320,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,Fruits,Daniel Turck,21BC-10,,15,8,2021,,Canada,British Columbia,,Carmanah Walbran Provincial Park. Upper Valley Trail. 300m up river from Paradise Pool on east side of river.,Old growth Sitka spruce forest. Maianthemum spp. Blechnum spicant and Vaccinium spp. dominant understory.,523 ft.,159,,48.689147,-124.661635,
